Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-12-14,BAJAJ-AUTO,EQ,2836.1,2836.0,2837.35,2785.2,2808.5,2823.15,2812.76,465457,130921987184999.98,43422,132436,0.2845
2018-12-17,BAJAJ-AUTO,EQ,2823.15,2833.0,2853.0,2826.1,2847.0,2840.95,2839.64,225455,64021174590000.0,13864,62295,0.2763
2018-12-18,BAJAJ-AUTO,EQ,2840.95,2840.0,2873.8,2822.05,2835.8,2840.9,2845.02,443162,126080558450000.0,38467,150562,0.3397
2018-12-19,BAJAJ-AUTO,EQ,2840.9,2853.9,2882.0,2845.05,2866.6,2863.0,2865.38,393269,112686568684999.98,29383,122833,0.3123
2018-12-20,BAJAJ-AUTO,EQ,2863.0,2855.0,2900.0,2832.0,2897.0,2887.2,2864.67,288162,82548998325000.0,16790,60164,0.20879999999999999
2018-12-21,BAJAJ-AUTO,EQ,2887.2,2897.0,2905.0,2801.0,2807.0,2808.45,2838.47,386367,109669088065000.02,36237,134185,0.3473
2018-12-24,BAJAJ-AUTO,EQ,2808.45,2825.5,2832.7,2715.85,2728.0,2724.65,2746.07,348337,95655929705000.0,30356,87064,0.24989999999999998
2018-12-26,BAJAJ-AUTO,EQ,2724.65,2713.7,2749.8,2670.0,2744.35,2734.6,2711.03,410582,111309833645000.0,46378,126315,0.30760000000000004
2018-12-27,BAJAJ-AUTO,EQ,2734.6,2763.9,2764.0,2696.6,2735.45,2737.0,2728.8,558049,152280535410000.0,38111,219701,0.3937
2018-12-28,BAJAJ-AUTO,EQ,2737.0,2753.9,2759.95,2711.75,2720.0,2717.5,2731.11,358369,97874681415000.0,26965,112182,0.313
2018-12-31,BAJAJ-AUTO,EQ,2717.5,2738.0,2763.0,2710.0,2725.0,2720.15,2740.84,406069,111296955065000.02,19245,62483,0.1539
2019-01-01,BAJAJ-AUTO,EQ,2720.15,2735.0,2743.4,2705.0,2726.0,2726.65,2725.76,304150,82903931130000.0,13713,27401,0.0901
2019-01-02,BAJAJ-AUTO,EQ,2726.65,2720.0,2747.25,2677.0,2685.0,2692.0,2703.02,599274,161985100380000.0,32762,123412,0.2059
2019-01-03,BAJAJ-AUTO,EQ,2692.0,2690.1,2723.85,2682.1,2695.0,2701.35,2703.7,310511,83953010470000.0,27154,71290,0.22960000000000003
2019-01-04,BAJAJ-AUTO,EQ,2701.35,2714.0,2742.0,2702.1,2725.5,2734.2,2725.58,362393,98773100500000.0,30653,107982,0.298
2019-01-07,BAJAJ-AUTO,EQ,2734.2,2739.9,2740.0,2645.0,2652.25,2658.55,2691.08,462215,124385816695000.0,43840,180946,0.3915
2019-01-08,BAJAJ-AUTO,EQ,2658.55,2667.0,2700.0,2635.5,2694.85,2694.85,2673.01,486654,130083110034999.98,35860,116634,0.2397
2019-01-09,BAJAJ-AUTO,EQ,2694.85,2702.5,2710.0,2672.5,2693.0,2696.9,2691.92,285560,76870556040000.0,22820,93223,0.3265
2019-01-10,BAJAJ-AUTO,EQ,2696.9,2700.0,2729.0,2680.0,2724.0,2725.3,2719.21,277585,75481106365000.0,32356,101862,0.36700000000000005
2019-01-11,BAJAJ-AUTO,EQ,2725.3,2728.0,2738.7,2700.85,2703.1,2720.95,2720.02,259834,70675444435000.0,21655,74787,0.2878
2019-01-14,BAJAJ-AUTO,EQ,2720.95,2718.0,2747.2,2676.45,2694.15,2699.15,2691.86,170937,46013832515000.0,13086,45411,0.2657
2019-01-15,BAJAJ-AUTO,EQ,2699.15,2705.0,2734.8,2705.0,2725.0,2725.85,2722.44,169721,46205588160000.0,11804,68565,0.40399999999999997
2019-01-16,BAJAJ-AUTO,EQ,2725.85,2736.0,2736.0,2706.0,2715.0,2717.45,2716.39,218357,59314190295000.01,15861,120470,0.5517000000000001
2019-01-17,BAJAJ-AUTO,EQ,2717.45,2722.0,2739.8,2700.8,2739.8,2729.65,2722.72,230784,62835976065000.0,31537,92814,0.4022
2019-01-18,BAJAJ-AUTO,EQ,2729.65,2741.0,2746.5,2696.65,2718.85,2720.75,2717.88,269686,73297397900000.0,31367,105232,0.39020000000000005
2019-01-21,BAJAJ-AUTO,EQ,2720.75,2724.75,2724.75,2670.0,2672.0,2684.6,2687.93,303893,81684215845000.0,31228,119386,0.3929
2019-01-22,BAJAJ-AUTO,EQ,2684.6,2685.0,2695.0,2650.1,2689.55,2688.35,2669.12,273441,72984552190000.0,25843,59369,0.21710000000000002
2019-01-23,BAJAJ-AUTO,EQ,2688.35,2699.0,2699.0,2665.1,2677.95,2674.1,2679.88,205104,54965333554999.99,18229,99043,0.4829
2019-01-24,BAJAJ-AUTO,EQ,2674.1,2684.0,2684.0,2635.0,2651.6,2651.65,2656.4,183566,48762497095000.0,13581,70705,0.38520000000000004
2019-01-25,BAJAJ-AUTO,EQ,2651.65,2622.3,2672.0,2614.05,2620.3,2626.35,2645.46,304062,80438314540000.0,18815,139747,0.4596
2019-01-28,BAJAJ-AUTO,EQ,2626.35,2629.95,2634.0,2545.0,2563.0,2565.55,2565.05,332409,85264592880000.0,27299,137319,0.4131
2019-01-29,BAJAJ-AUTO,EQ,2565.55,2563.0,2597.15,2522.45,2568.1,2567.65,2570.93,424856,109227697120000.0,46158,229772,0.5408
2019-01-30,BAJAJ-AUTO,EQ,2567.65,2571.0,2653.35,2485.0,2492.0,2499.7,2538.92,2450943,622273818005000.0,144110,412484,0.16829999999999998
2019-01-31,BAJAJ-AUTO,EQ,2499.7,2501.15,2570.0,2461.1,2563.0,2554.55,2512.79,1102133,276942583455000.03,75066,270782,0.2457
2019-02-01,BAJAJ-AUTO,EQ,2554.55,2560.0,2670.0,2543.0,2607.0,2602.75,2603.79,1028186,267718382730000.03,71856,275118,0.2676
2019-02-04,BAJAJ-AUTO,EQ,2602.75,2610.0,2672.4,2565.45,2647.0,2642.5,2639.58,817279,215727377925000.0,48017,161919,0.1981
2019-02-05,BAJAJ-AUTO,EQ,2642.5,2647.0,2720.0,2645.0,2710.0,2710.65,2693.66,469089,126356722280000.0,28708,74738,0.1593
2019-02-06,BAJAJ-AUTO,EQ,2710.65,2715.0,2785.0,2714.15,2785.0,2770.15,2750.58,495030,136161722695000.0,33180,106280,0.2147
2019-02-07,BAJAJ-AUTO,EQ,2770.15,2785.0,2872.0,2772.15,2853.65,2853.6,2844.05,983573,279732616425000.0,49306,221402,0.22510000000000002
2019-02-08,BAJAJ-AUTO,EQ,2853.6,2852.0,2879.1,2831.2,2850.0,2851.4,2850.85,1004870,286473573540000.0,32327,592374,0.5895
2019-02-11,BAJAJ-AUTO,EQ,2851.4,2850.0,2870.0,2819.05,2846.95,2853.6,2848.07,712787,203006670750000.0,22245,340690,0.478
2019-02-12,BAJAJ-AUTO,EQ,2853.6,2845.6,2854.0,2819.5,2825.0,2832.35,2830.61,280913,79515615905000.0,19466,91927,0.3272
2019-02-13,BAJAJ-AUTO,EQ,2832.35,2835.0,2845.0,2815.0,2825.0,2823.95,2824.2,377437,106595591605000.0,27920,153001,0.4054
2019-02-14,BAJAJ-AUTO,EQ,2823.95,2820.0,2875.0,2811.25,2823.0,2823.1,2835.34,372416,105592491485000.0,24497,133694,0.359
2019-02-15,BAJAJ-AUTO,EQ,2823.1,2825.15,2850.0,2805.05,2821.0,2825.95,2820.5,867192,244591806610000.0,25553,503927,0.5811000000000001
2019-02-18,BAJAJ-AUTO,EQ,2825.95,2830.0,2835.0,2767.8,2796.0,2793.5,2782.1,296237,82416192375000.0,22445,85381,0.2882
2019-02-19,BAJAJ-AUTO,EQ,2793.5,2801.0,2825.0,2777.5,2779.3,2787.85,2795.62,185862,51960042715000.0,12254,39827,0.2143
2019-02-20,BAJAJ-AUTO,EQ,2787.85,2788.0,2798.0,2737.25,2794.5,2774.7,2764.91,428139,118376633255000.0,29135,126845,0.2963
2019-02-21,BAJAJ-AUTO,EQ,2774.7,2770.0,2829.9,2751.7,2825.0,2813.95,2787.61,281964,78600622160000.0,25446,82058,0.29100000000000004
2019-02-22,BAJAJ-AUTO,EQ,2813.95,2825.0,2847.0,2801.85,2817.0,2816.85,2827.48,431535,122015580530000.0,19834,125231,0.2902
2019-02-25,BAJAJ-AUTO,EQ,2816.85,2817.0,2854.7,2816.9,2845.0,2847.55,2841.32,322524,91639421020000.0,20013,120137,0.3725
2019-02-26,BAJAJ-AUTO,EQ,2847.55,2834.0,2870.0,2812.0,2870.0,2859.3,2847.9,369292,105170625895000.0,20480,135106,0.36590000000000006
2019-02-27,BAJAJ-AUTO,EQ,2859.3,2870.0,2941.0,2870.0,2901.0,2914.7,2912.76,861033,250798550910000.0,40358,327792,0.38070000000000004
2019-02-28,BAJAJ-AUTO,EQ,2914.7,2930.0,2933.8,2864.0,2904.8,2900.6,2900.1,1246854,361599895030000.0,45550,842139,0.6754000000000001
2019-03-01,BAJAJ-AUTO,EQ,2900.6,2914.0,2943.0,2856.2,2861.05,2863.5,2894.19,1008494,291877730355000.0,46288,253957,0.2518
